id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Garnett;Schinner;Christelle_Renner59@hotmail.com;Dam;2019-05-21T01:00:27;5808;45924
2;Sammie;Hartmann;Bryon.Quigley@yahoo.com;Producer;2019-05-20T07:25:42;93855;21233
3;Abagail;Deckow;Christelle61@hotmail.com;Grocery Home;2019-05-20T14:48:45;61185;39986
4;Brody;Beahan;Wayne45@gmail.com;bluetooth;2019-05-20T22:36:53;38246;51423
5;Wilma;McLaughlin;Alyce_Stokes@yahoo.com;Centers;2019-05-21T03:05:18;94888;94220
6;Virgil;MacGyver;Gerhard9@hotmail.com;Nakfa;2019-05-20T16:50:36;68326;12203
7;Leone;Kunde;Alexzander.Daniel25@hotmail.com;invoice;2019-05-20T19:55:33;42515;52006
8;Cordell;Lockman;Christine_Bartell77@yahoo.com;Markets Chief;2019-05-20T13:03:27;72727;92187
9;Erick;Bogisich;Cleve96@yahoo.com;navigating;2019-05-20T09:28:17;27134;53969
10;Rhoda;McGlynn;Virgie_Goyette@yahoo.com;Plastic;2019-05-20T08:09:16;16526;7455
